Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
RR,2.56,2026/04/23,16:00 EDT,-0.21,2.73,2.8,2.49,9505664,,2.738,1352.0,,,,,BUY
RXRX,3.5,2026/04/23,16:00 EDT,-0.23,3.7,3.71,3.4301,11060860,,8.57,239.0,,,,,BUY
SMCI,26.75,2026/04/23,16:00 EDT,-2.43,26.5,27.6,26.0607,46360162,,39.47,100.0,,,,,BUY
ACHR,5.77,2026/04/23,16:00 EDT,-0.29,6.01,6.0565,5.61,27082866,,9.06,324.0,,,,,BUY
HIMS,28.15,2026/04/23,16:00 EDT,-0.860001,30.33,31.44,27.03,44670932,,36.5,82.5,,,,,BUY
TEM,51.44,2026/04/23,16:00 EDT,-4.07,54.36,54.5,50.03,5713761,,70.33,35.0,,,,,BUY
VERI,2.18,2026/04/23,16:00 EDT,-0.21,2.32,2.34,2.155,2095782,,6.1,139.0,,,,,BUY
NTRB,4.01,2026/04/23,16:00 EDT,-0.15999985,4.135,4.135,3.963,7167,,8.58,96.0,,,,,BUY
ARBE,0.748,2026/04/23,16:00 EDT,-0.0321,0.78,0.785,0.7302,564064,,3.63,140.0,,,,,BUY
WOLF,27.55,2026/04/23,16:02 EDT,-0.200001,27.85,29.76,26.62,4841175,,380.7,1.0,,,,,BUY
RGTI,16.86,2026/04/23,16:00 EDT,-1.52,18.01,18.2657,16.5,27423941,,41.41,15.0,,,,,BUY
QUBT,9.05,2026/04/23,16:00 EDT,-0.809999,9.71,9.895,8.88,18717549,,16.7,49.0,,,,,BUY
SES,1.22,2026/04/23,16:00 EDT,-0.05,1.31,1.31,1.19,6969801,,2.041,324.0,,,,,BUY
ABAT,3.315,2026/04/23,16:00 EDT,-0.275,3.56,3.64,3.23,4706059,,6.02,100.0,,,,,BUY
GRAB,3.96,2026/04/23,16:00 EDT,-0.0999999,4.04,4.05,3.9,41267991,,6.33,74.0,,,,,BUY
SHOP,124.23,2026/04/23,16:00 EDT,-7.73,129.74,130.0,121.7301,7413789,,159.24,6.0,,,,,BUY
OPEN,5.22,2026/04/23,16:00 EDT,-0.21,5.3501,5.42,4.98,39820214,,7.55,60.0,,,,,BUY
OSCR,16.43,2026/04/23,16:00 EDT,-0.0100002,16.4,16.65,15.94,3989541,,19.04,47.0,,,,,BUY
PATH,10.09,2026/04/23,16:00 EDT,-0.8,10.5,10.5,9.9,33973989,,13.48,39.0,,,,,BUY
VST,156.85,2026/04/23,16:00 EDT,1.06001,155.96,158.87,154.5,3255686,,172.67,5.0,,,,,BUY
IONQ,43.63,2026/04/23,16:00 EDT,-3.73,46.61,47.83,41.92,35706937,,54.87,10.0,,,,,BUY
PXLW,5.63,2026/04/23,16:00 EDT,-0.24,5.8,5.9399,5.56,25906,,9.65,10.0,,,,,BUY
NNOX,1.715,2026/04/23,16:00 EDT,-0.285,2.0,2.0189,1.7,5505961,,4.365,14.0,,,,,BUY
OCUL,9.59,2026/04/23,16:00 EDT,-0.0699997,9.64,9.74,9.39,2519798,,10.15,44.0,,,,,BUY
USAR,23.09,2026/04/23,16:00 EDT,-2.32,24.98,25.34,22.315,19595822,,27.59,4.0,,,,,BUY
WLDS,1.0,2026/04/23,16:00 EDT,-0.11,1.08,1.09,0.9801,721146,,2.405,3.0,,,,,BUY
OPENZ,0.364,2026/04/23,16:00 EDT,-0.033000022,0.4,0.405,0.348,272375,,0.0,2.0,,,,,BUY
